WorkbookTableRow,ExcelRow,Date,AssignedROI,HoleX,HoleY,GuideTubeMm,DepthMm,TotalDepthMm,OffsetMLMm,OffsetAPMm,OffsetDVMm,NativeI,NativeJ,NativeK,TargetAtlasLabel,NativeAtlasLabel,NativeCorrect,CurrentSagittalAtlasLabel,CurrentSagittalCorrect,MaximumMatchAtlasLabel,MaximumMatchCorrect,RecommendedAtlasLabel,RecommendedCorrect,RecommendedUmm,RecommendedVmm,RecommendedSignedDistanceMm,RecommendedAbsoluteDistanceMm,WithinOneMmSlab,SiteMultiplicity
3,4,16-Jul-2024,MT,22,22,23,10,33,0,0,0,166.2,143,57.8,25,25,1,25,1,25,1,25,1,-1.51591497801492,-0.151843928504732,-0.324434894031734,0.324434894031734,1,1
5,6,23-Jul-2024,FST,22,24,23,11.7,34.7,0,0,0,166.2,139.6,61,24,24,1,0,0,24,1,24,1,0.603018179696119,0.817288983719655,-0.469015914903158,0.469015914903158,1,1
7,8,30-Jul-2024,MT,20,20,23,9,32,0,0,0,163,145,54.6,25,0,0,25,1,25,1,25,1,-2.735342710304,-2.03646682922755,-1.36423897547948,1.36423897547948,0,1
8,9,01-Aug-2024,FST,22,26,23,12.8,35.8,0,0,0,166.2,137.4,64.2,24,24,1,24,1,24,1,24,1,2.42380476110779,1.44437498574719,-0.221025247715234,0.221025247715234,1,1
9,10,06-Aug-2024,MT,24,22,23,12.7,35.7,0,0,-1,169.4,139.6,57.8,25,25,1,0,0,25,1,25,1,-1.22283409823942,2.13183370078108,-0.710336543949927,0.710336543949927,1,1
10,11,08-Aug-2024,FST,24,26,23,14.2,37.2,0,0,0,169.4,134.6,64.2,24,24,1,0,0,24,1,24,1,2.56781235273361,3.55702915993459,-0.410641053603757,0.410641053603757,1,1
11,12,13-Aug-2024,MT,20,20,23,7.4,30.4,0,0,0,163,148.2,54.6,25,25,1,25,1,25,1,25,1,-3.5304002471023,-2.94859192308579,-0.317381140654574,0.317381140654574,1,1
12,13,15-Aug-2024,MT,24,24,23,11.9,34.9,0,0,0,169.4,139.2,61,25,25,1,0,0,25,1,25,1,0.150732618723208,2.24584933751336,0.126511655327005,0.126511655327005,1,1
13,14,20-Aug-2024,FST,23,25,23,12.6,35.6,0,0,0,167,137.8,62.6,24,24,1,0,0,24,1,24,1,1.5494133683084,1.65899552828027,-0.39242453278132,0.39242453278132,1,1
14,15,22-Aug-2024,FST,21,25,23,11,34,0,0,0,163.8,141,62.6,24,24,1,24,1,24,1,24,1,1.3060235845828,-0.567674282639385,-0.0719514975396844,0.0719514975396844,1,1
