Monkey,Date,ROI,ND,OriginalRecIdx
Jim,14-Jul-2021,MT,MN,1
Jim,21-Jul-2021,MT,2D,2
Jim,23-Jul-2021,FST,MN,3
Jim,04-Aug-2021,MT,MN,4
Jim,20-Aug-2021,MT,2D,5
Jim,12-May-2022,MT,2D,6
Jim,18-May-2022,FST,2D,7
Jim,19-May-2022,FST,NA,8
Jim,20-May-2022,FST,MN,9
Jim,24-May-2022,FST,NA,10
Jim,27-May-2022,FST,MN,11
Jim,28-May-2022,FST,NA,12
Jim,30-May-2022,FST,MN,13
Jim,31-May-2022,FST,NA,14
Jim,01-Jun-2022,MT,3D,15
Jim,13-Dec-2022,MT,2D,16
Jim,20-Dec-2022,FST,MN,17
Jim,22-Dec-2022,FST,NA,18
Jim,23-Dec-2022,MT,2D,19
Jim,28-Dec-2022,MT,NA,20
Jim,30-Dec-2022,FST,MN,21
Jim,10-Jan-2023,MT,2D,22
Jim,11-Jan-2023,MT,2D,23
Jim,12-Jan-2023,FST,NA,24
Jim,16-Jan-2023,FST,MN,25
Jim,17-Jan-2023,FST,3D,26
Jim,19-Jan-2023,MT,2D,27
Jim,26-Jan-2023,MT,2D,28
Jim,30-Jan-2023,MT,3D,29
Jim,31-Jan-2023,MT,2D,30
Jim,06-Feb-2023,MT,2D,31
Jim,14-Feb-2023,MT,2D,32
Jim,20-Feb-2023,MT,NA,33
Jim,21-Feb-2023,FST,MN,34
Jim,23-Feb-2023,MT,2D,35
Jim,27-Feb-2023,MT,MN,36
Jim,28-Feb-2023,MT,MN,37
Jim,07-Mar-2023,FST,2D,38
Jim,09-Mar-2023,MT,2D,39
Jim,13-Mar-2023,MT,2D,40
Jim,15-Mar-2023,FST,NA,41
Jim,16-Mar-2023,MT,2D,42
Jim,01-Apr-2023,MT,3D,43
Jim,05-Apr-2023,FST,MN,44
Jim,08-Apr-2023,MT,3D,45
Jim,12-Apr-2023,FST,MN,46
Jim,13-Apr-2023,MT,2D,47
Jim,20-Apr-2023,FST,2D,48
Jim,22-Apr-2023,MT,2D,49
Jim,06-May-2023,FST,2D,50
Jim,16-May-2023,FST,MN,51
Jim,03-Aug-2023,MT,2D,52
Jim,08-Aug-2023,FST,2D,53
Jim,09-Aug-2023,MT,2D,54
Jim,17-Aug-2023,MT,NA,55
Jim,06-Sep-2023,FST,NA,57
Jim,08-Sep-2023,FST,MN,58
Jim,09-Sep-2023,MT,NA,59
Jim,20-Sep-2023,FST,NA,60
Jim,22-Sep-2023,MT,2D,61
Jim,28-Sep-2023,MT,MN,62
Jim,29-Sep-2023,FST,MN,63
Jim,23-Oct-2023,FST,2D,64
Jim,25-Oct-2023,FST,MN,65
Jim,27-Oct-2023,MT,2D,66
Jim,01-Nov-2023,MT,NA,67
Jim,06-Dec-2023,MT,2D,68
Jim,08-Dec-2023,FST,MN,69
Jim,20-Dec-2023,FST,3D,70
Jim,21-Dec-2023,MT,MN,71
Jim,02-Jan-2024,FST,NA,72
Jim,09-Jan-2024,MT,NA,73
Jim,11-Jan-2024,FST,3D,74
Jim,16-Jan-2024,MT,2D,75
Jim,18-Jan-2024,FST,NA,76
Jim,07-Feb-2024,MT,2D,77
Jim,08-Feb-2024,FST,MN,78
Jim,14-Feb-2024,MT,2D,79
Jim,16-Feb-2024,FST,NA,80
Jim,20-Feb-2024,FST,NA,81
Jim,21-Feb-2024,FST,MN,82
Jim,22-Feb-2024,MT,MN,83
Jim,01-Mar-2024,FST,2D,84
Jim,05-Mar-2024,FST,3D,85
Jim,06-Mar-2024,FST,NA,86
Jim,08-Mar-2024,MT,2D,87
Jim,12-Mar-2024,FST,3D,88
Jim,13-Mar-2024,MT,NA,89
Jim,14-Mar-2024,MT,2D,90
Jim,19-Mar-2024,MT,2D,91
Jim,20-Mar-2024,FST,2D,92
Jim,26-Mar-2024,MT,MN,94
Jim,11-Apr-2024,FST,MN,95
Jim,16-Apr-2024,MT,2D,96
Jim,18-Apr-2024,FST,NA,97
Jim,23-Apr-2024,FST,NA,98
Jim,25-Apr-2024,MT,2D,99
Jim,26-Apr-2024,MT,2D,100
Jim,01-May-2024,FST,NA,101
Jim,08-May-2024,FST,NA,102
Jim,10-May-2024,FST,MN,103
Jim,24-May-2024,MT,MN,104
Jim,11-Jun-2024,FST,MN,105
Jim,12-Jun-2024,FST,3D,106
Jim,13-Jun-2024,MT,2D,107
Jim,14-Jun-2024,FST,3D,108
Jim,17-Jun-2024,FST,2D,109
Jim,18-Jun-2024,FST,2D,110
Jim,21-Jun-2024,FST,2D,111
Jim,25-Jun-2024,FST,2D,112
Jim,28-Jun-2024,FST,3D,113
Jim,03-Jul-2024,FST,2D,114
Jim,10-Jul-2024,FST,2D,115
Jim,17-Jul-2024,FST,3D,116
Jim,24-Jul-2024,FST,NA,117
Jim,26-Jul-2024,FST,2D,118
Jim,31-Jul-2024,FST,MN,119
Jim,02-Aug-2024,FST,3D,120
Jim,07-Aug-2024,MT,2D,121
Jim,09-Aug-2024,FST,2D,122
Jim,14-Aug-2024,FST,MN,123
Jim,16-Aug-2024,FST,3D,124
Jim,21-Aug-2024,FST,NA,125
Jim,26-Aug-2024,FST,NA,126
Jim,30-Aug-2024,FST,2D,127
