SessionID,SessionIndex,Block,ComparatorCondition,LeftEyeRate,ComparatorRate,Difference
Clay_001,1,nonStim,Combined,0.887931034482759,0.929824561403509,-0.0418935269207501
Clay_002,2,nonStim,Combined,0.735537190082645,0.95,-0.214462809917355
Clay_003,3,nonStim,Combined,0.759259259259259,0.944444444444444,-0.185185185185185
Clay_004,4,nonStim,Combined,0.833333333333333,0.933333333333333,-0.1
Clay_005,5,nonStim,Combined,0.863636363636364,0.946428571428571,-0.0827922077922078
Clay_006,6,nonStim,Combined,0.783783783783784,0.862385321100917,-0.0786015373171337
Clay_007,7,nonStim,Combined,0.678321678321678,0.888888888888889,-0.210567210567211
Clay_008,8,nonStim,Combined,0.779069767441861,0.930232558139535,-0.151162790697674
Clay_009,9,nonStim,Combined,0.875,0.936170212765957,-0.0611702127659575
Clay_010,10,nonStim,Combined,0.809090909090909,0.9375,-0.128409090909091
Clay_011,11,nonStim,Combined,0.816091954022989,0.883116883116883,-0.0670249290938946
Clay_012,12,nonStim,Combined,0.845360824742268,0.90625,-0.060889175257732
Clay_013,13,nonStim,Combined,0.857142857142857,0.947368421052632,-0.0902255639097744
Clay_014,14,nonStim,Combined,0.833333333333333,0.875,-0.0416666666666666
Clay_015,15,nonStim,Combined,0.80188679245283,0.914285714285714,-0.112398921832884
Clay_016,16,nonStim,Combined,0.819444444444444,0.915492957746479,-0.0960485133020345
Clay_017,17,nonStim,Combined,0.848684210526316,0.899328859060403,-0.0506446485340869
Clay_018,18,nonStim,Combined,0.802919708029197,0.963503649635037,-0.160583941605839
Clay_019,19,nonStim,Combined,0.820689655172414,0.875,-0.0543103448275862
Clay_020,20,nonStim,Combined,0.788732394366197,0.895833333333333,-0.107100938967136
Clay_021,21,nonStim,Combined,0.796296296296296,0.971428571428571,-0.175132275132275
Clay_022,22,nonStim,Combined,0.8,0.925619834710744,-0.125619834710744
Clay_023,23,nonStim,Combined,0.833333333333333,0.961538461538462,-0.128205128205128
Clay_024,24,nonStim,Combined,0.831932773109244,0.898305084745763,-0.066372311636519
Clay_025,25,nonStim,Combined,0.807017543859649,0.928571428571429,-0.12155388471178
Clay_026,26,nonStim,Combined,0.768518518518518,0.890909090909091,-0.122390572390572
Clay_027,27,nonStim,Combined,0.752380952380952,0.914285714285714,-0.161904761904762
Clay_028,28,nonStim,Combined,0.765151515151515,0.924242424242424,-0.159090909090909
Clay_029,29,nonStim,Combined,0.817460317460317,0.834645669291339,-0.0171853518310211
Clay_030,30,nonStim,Combined,0.838709677419355,1,-0.161290322580645
Clay_031,31,nonStim,Combined,0.735632183908046,0.855555555555556,-0.11992337164751
Clay_032,32,nonStim,Combined,0.766666666666667,0.900826446280992,-0.134159779614325
Clay_033,33,nonStim,Combined,0.775,0.942148760330578,-0.167148760330578
Clay_034,34,nonStim,Combined,0.823529411764706,0.95,-0.126470588235294
Clay_035,35,nonStim,Combined,0.758333333333333,0.9,-0.141666666666667
Clay_036,36,nonStim,Combined,0.716666666666667,0.933884297520661,-0.217217630853994
Clay_037,37,nonStim,Combined,0.855263157894737,0.933333333333333,-0.0780701754385965
Clay_038,38,nonStim,Combined,0.793388429752066,0.942148760330578,-0.148760330578512
Clay_039,39,nonStim,Combined,0.854014598540146,0.963768115942029,-0.109753517401883
