TRIAL 1
111 @ 23.1469
113 @ 24.7416
114 @ 24.7712
117 @ 25.083
118 @ 25.1449
9919 @ 25.0949
19985 @ 25.0949
30135 @ 25.0949
5000 @ 25.0949
7041 @ 25.0949
8002 @ 25.0949
119 @ 25.2306
112 @ 25.2719

TRIAL 2
111 @ 25.2719
113 @ 25.5307
114 @ 26.5382
117 @ 26.8475
118 @ 26.8861
9919 @ 26.8594
19985 @ 26.8594
30225 @ 26.8594
5000 @ 26.8594
7041 @ 26.8594
8001 @ 26.8594
120 @ 27.8883
112 @ 27.8886

TRIAL 3
111 @ 27.8886
113 @ 28.107
114 @ 28.1111
117 @ 28.4188
118 @ 28.452
9919 @ 28.425
19985 @ 28.425
30045 @ 28.425
5000 @ 28.425
7041 @ 28.425
8001 @ 28.425
120 @ 29.439
112 @ 29.4391

TRIAL 4
111 @ 29.4391
113 @ 29.6646
114 @ 29.6701
117 @ 29.9791
118 @ 30.0034
9919 @ 29.9884
19985 @ 29.9884
30135 @ 29.9884
5000 @ 29.9884
7041 @ 29.9884
8001 @ 29.9886
120 @ 31.0092
140 @ 31.007
141 @ 31.0501
112 @ 31.0648

TRIAL 5
111 @ 31.0648
113 @ 32.5904
114 @ 33.2141
117 @ 33.5201
118 @ 33.5451
9919 @ 33.5281
19985 @ 33.5283
30180 @ 33.5286
5000 @ 33.5286
7041 @ 33.5289
8002 @ 33.5291
119 @ 33.5928
112 @ 33.6228

