Date | datetime | [892 1]
ROI | cell | [892 1]
Hole | double | [892 2]
Depth | double | [892 1]
Offset | double | [892 3]
Guide | double | [892 1]
StimLoc | double | [892 2]
Paths | cell | [892 1]
Names | cell | [892 2]
Tetrode | double | [892 1]
Folder_Index | double | [892 1]
Unit | double | [892 1]
RF | double | [892 1]
InRF | double | [892 1]
Both_Kappa | double | [892 2]
Both_Mu | double | [892 2]
Both_Ray_p | double | [892 2]
Left_Ray_p | double | [892 2]
Left_Kappa | double | [892 2]
Left_Mu | double | [892 2]
Right_Ray_p | double | [892 2]
Right_Kappa | double | [892 2]
Right_Mu | double | [892 2]
Axial_Both_Kappa | double | [892 2]
Axial_Both_Mu | double | [892 2]
Axial_Left_Kappa | double | [892 2]
Axial_Left_Mu | double | [892 2]
Axial_Right_Kappa | double | [892 2]
Axial_Right_Mu | double | [892 2]
Comp_Axial_Both_Gain1 | double | [892 2]
Comp_Axial_Both_Gain2 | double | [892 2]
Comp_Axial_Left_Gain1 | double | [892 2]
Comp_Axial_Left_Gain2 | double | [892 2]
Comp_Axial_Right_Gain1 | double | [892 2]
Comp_Axial_Right_Gain2 | double | [892 2]
Comp_Axial_Both_Kappa1 | double | [892 2]
Comp_Axial_Both_Kappa2 | double | [892 2]
Comp_Axial_Both_Mu | double | [892 2]
Comp_Axial_Left_Kappa1 | double | [892 2]
Comp_Axial_Left_Kappa2 | double | [892 2]
Comp_Axial_Left_Mu | double | [892 2]
Comp_Axial_Right_Kappa1 | double | [892 2]
Comp_Axial_Right_Kappa2 | double | [892 2]
Comp_Axial_Right_Mu | double | [892 2]
Both_r | double | [892 2]
Left_r | double | [892 2]
Right_r | double | [892 2]
Both_p | double | [892 2]
Left_p | double | [892 2]
Right_p | double | [892 2]
Axial_Both_r | double | [892 2]
Axial_Left_r | double | [892 2]
Axial_Right_r | double | [892 2]
Axial_Both_p | double | [892 2]
Axial_Left_p | double | [892 2]
Axial_Right_p | double | [892 2]
Comp_Axial_Both_r | double | [892 2]
Comp_Axial_Left_r | double | [892 2]
Comp_Axial_Right_r | double | [892 2]
Comp_Axial_Both_p | double | [892 2]
Comp_Axial_Left_p | double | [892 2]
Comp_Axial_Right_p | double | [892 2]
mono_weights | double | [892 2]
both_dir_vec | double | [892 2]
both_dir_mag | double | [892 2]
left_anova_one_way | double | [892 2]
right_anova_one_way | double | [892 2]
both_anova_one_way | double | [892 2]
DI_both | double | [892 2]
DI_left | double | [892 2]
DI_right | double | [892 2]
DI_LR_both | double | [892 2]
DI_LR_left | double | [892 2]
DI_LR_right | double | [892 2]
DI_UD_both | double | [892 2]
DI_UD_left | double | [892 2]
DI_UD_right | double | [892 2]
DTI_both | double | [892 2]
DTI_left | double | [892 2]
DTI_right | double | [892 2]
ATI_both | double | [892 2]
ATI_left | double | [892 2]
ATI_right | double | [892 2]
ODI_2D | double | [892 2]
Monocularity_2D_Max | double | [892 2]
ODI_Eye_2D | double | [892 1]
corr_r_both | double | [892 2]
corr_p_both | double | [892 2]
Both_r_corr_reg_ax | double | [892 2]
Both_p_corr_reg_ax | double | [892 2]
Left_r_corr_reg_ax | double | [892 2]
Left_p_corr_reg_ax | double | [892 2]
Right_r_corr_reg_ax | double | [892 2]
Right_p_corr_reg_ax | double | [892 2]
Both_r_corr_reg_ax_comp | double | [892 2]
Both_p_corr_reg_ax_comp | double | [892 2]
Left_r_corr_reg_ax_comp | double | [892 2]
Left_p_corr_reg_ax_comp | double | [892 2]
Right_r_corr_reg_ax_comp | double | [892 2]
Right_p_corr_reg_ax_comp | double | [892 2]
Both_R_PD | double | [892 2]
Both_R_PA | double | [892 2]
Both_Z_PD | double | [892 2]
Both_Z_PA | double | [892 2]
Comp_Both_R_PD | double | [892 2]
Comp_Both_R_PA | double | [892 2]
Comp_Both_Z_PD | double | [892 2]
Comp_Both_Z_PA | double | [892 2]
Left_R_PD | double | [892 2]
Left_R_PA | double | [892 2]
Left_Z_PD | double | [892 2]
Left_Z_PA | double | [892 2]
Comp_Left_R_PD | double | [892 2]
Comp_Left_R_PA | double | [892 2]
Comp_Left_Z_PD | double | [892 2]
Comp_Left_Z_PA | double | [892 2]
Right_R_PD | double | [892 2]
Right_R_PA | double | [892 2]
Right_Z_PD | double | [892 2]
Right_Z_PA | double | [892 2]
Comp_Right_R_PD | double | [892 2]
Comp_Right_R_PA | double | [892 2]
Comp_Right_Z_PD | double | [892 2]
Comp_Right_Z_PA | double | [892 2]
latency | double | [892 1]
PrefSpeed | double | [892 3]
sig_anova_both | logical | [892 1]
sig_anova_either | logical | [892 1]
