RowIndex,NewSourceRow,RefSourceRow,NewMonkey,NewDate,NewROI,NewStimElec,TuningMeanFullEqual,TuningMeanFullMaxAbsDiff,TuningMeanFullNonNanDiffCount,TuningMeanFullSizeMismatch,TuningMeanFullNoZeroEqual,TuningMeanFullNoZeroMaxAbsDiff,TuningMeanFullNoZeroNonNanDiffCount,TuningMeanFullNoZeroSizeMismatch,TuningMeanFullEdge8Equal,TuningMeanFullEdge8MaxAbsDiff,TuningMeanFullEdge8NonNanDiffCount,TuningMeanFullEdge8SizeMismatch,TuningMeanStimEqual,TuningMeanStimMaxAbsDiff,TuningMeanStimNonNanDiffCount,TuningMeanStimSizeMismatch,TuningMeanStimNoZeroEqual,TuningMeanStimNoZeroMaxAbsDiff,TuningMeanStimNoZeroNonNanDiffCount,TuningMeanStimNoZeroSizeMismatch,TuningMeanStimEdge8Equal,TuningMeanStimEdge8MaxAbsDiff,TuningMeanStimEdge8NonNanDiffCount,TuningMeanStimEdge8SizeMismatch,TuningStimMaxDiff_Combined,TuningStimMaxDiff_MonoL,TuningStimMaxDiff_MonoR,TuningStimMaxDiff_Stereo
1,1,1,Jim,14-Jul-2021,MT,1,0,0,64,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0
2,2,2,Jim,21-Jul-2021,MT,4,0,0,64,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0
3,3,3,Jim,23-Jul-2021,FST,13,0,0,64,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0
4,4,4,Jim,04-Aug-2021,MT,3,0,2.86460879495318,80,0,0,2.86460879495318,16,0,0,2.86460879495318,16,0,0,0.654500954282859,5,0,0,0.654500954282859,1,0,0,0.654500954282859,1,0,0,0,0,0.654500954282859
5,5,5,Jim,20-Aug-2021,MT,3,0,0,64,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0
6,6,6,Jim,12-May-2022,MT,7,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
7,7,7,Jim,18-May-2022,FST,11,0,NaN,NaN,1,0,NaN,NaN,1,0,4.77152108645514,80,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.15919725611735,5,0,NaN,NaN,NaN,NaN
8,8,8,Jim,19-May-2022,FST,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
9,9,9,Jim,20-May-2022,FST,11,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
10,10,10,Jim,24-May-2022,FST,15,0,NaN,NaN,1,0,NaN,NaN,1,0,3.02344322721494,128,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.12801031558549,8,0,NaN,NaN,NaN,NaN
11,11,11,Jim,27-May-2022,FST,2,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
12,12,12,Jim,28-May-2022,FST,2,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
13,13,13,Jim,30-May-2022,FST,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
14,14,14,Jim,31-May-2022,FST,9,0,NaN,NaN,1,0,NaN,NaN,1,0,39.4281815285403,512,0,0,NaN,NaN,1,0,NaN,NaN,1,0,34.9439070644601,32,0,NaN,NaN,NaN,NaN
15,15,15,Jim,01-Jun-2022,MT,2,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
16,16,16,Jim,13-Dec-2022,MT,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
17,17,17,Jim,20-Dec-2022,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,0,5.14661665308947,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,1.54931606081772,2,0,NaN,NaN,NaN,NaN
18,18,18,Jim,22-Dec-2022,FST,15,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
19,19,19,Jim,23-Dec-2022,MT,11,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
20,20,20,Jim,28-Dec-2022,MT,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
21,21,21,Jim,30-Dec-2022,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
22,22,22,Jim,10-Jan-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
23,23,23,Jim,11-Jan-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,0,3.40148857779105,32,0,0,NaN,NaN,1,0,NaN,NaN,1,0,3.11900266375148,2,0,NaN,NaN,NaN,NaN
24,24,24,Jim,12-Jan-2023,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
25,25,25,Jim,16-Jan-2023,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
26,26,26,Jim,17-Jan-2023,FST,14,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
27,27,27,Jim,19-Jan-2023,MT,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
28,28,28,Jim,26-Jan-2023,MT,3,0,NaN,NaN,1,0,NaN,NaN,1,0,18.2518920311239,304,0,0,NaN,NaN,1,0,NaN,NaN,1,0,12.4502015503829,19,0,NaN,NaN,NaN,NaN
29,29,29,Jim,30-Jan-2023,MT,11,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
30,30,30,Jim,31-Jan-2023,MT,11,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
31,31,31,Jim,06-Feb-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
32,32,32,Jim,14-Feb-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
33,33,33,Jim,20-Feb-2023,MT,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
34,34,34,Jim,21-Feb-2023,FST,13,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
35,35,35,Jim,23-Feb-2023,MT,5,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
36,36,36,Jim,27-Feb-2023,MT,1,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
37,37,37,Jim,28-Feb-2023,MT,1,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
38,38,38,Jim,07-Mar-2023,FST,15,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
39,39,39,Jim,09-Mar-2023,MT,12,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
40,40,40,Jim,13-Mar-2023,MT,2,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
41,41,41,Jim,15-Mar-2023,FST,3,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,0,NaN,NaN,1,0,NaN,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN
