MIDTableRow,Monkey,ROI,Tetrode,Unit,Population,OriginalCondition2MonoLMaximum,OriginalCondition3MonoRMaximum,StoredAlignedOD,ReconstructedAlignedOD,Valid,SignMatch,DominantEye,OriginalDominantCondition,DecoderCondition2DominantMaximum,DecoderCondition3NonDominantMaximum,PostSwapDominantGreaterOrEqual
1,Jim,MT,NaN,2,2D,112.190483088869,85.2333661673651,-0.136544379126742,-0.136544379126742,1,1,Left,2,112.190483088869,85.2333661673651,1
3,Jim,MT,2,2,2D,115.956851223664,113.538425527372,-0.0105380194770412,-0.0105380194770412,1,1,Left,2,115.956851223664,113.538425527372,1
5,Jim,MT,1,2,2Donly,62.4179233414917,58.079953386099,-0.0360003850125887,-0.0360003850125887,1,1,Left,2,62.4179233414917,58.079953386099,1
6,Jim,MT,3,2,2D,89.8653844398749,59.5297968109187,-0.203055998024669,-0.203055998024669,1,1,Left,2,89.8653844398749,59.5297968109187,1
7,Jim,MT,1,2,2D,223.927697984793,205.686990334542,-0.0424582961108907,-0.0424582961108907,1,1,Left,2,223.927697984793,205.686990334542,1
8,Jim,MT,1,3,2D,40.9681777241801,40.0462937042353,-0.0113792511842698,-0.0113792511842698,1,1,Left,2,40.9681777241801,40.0462937042353,1
9,Jim,MT,2,2,2D,132.538758162027,103.457945393375,-0.123225504130081,-0.123225504130081,1,1,Left,2,132.538758162027,103.457945393375,1
10,Jim,MT,2,3,2D,164.54092623868,127.782097027329,-0.125747294211242,-0.125747294211242,1,1,Left,2,164.54092623868,127.782097027329,1
11,Jim,MT,3,2,2D,176.52939675658,163.777411706785,-0.0374720244575063,-0.0374720244575063,1,1,Left,2,176.52939675658,163.777411706785,1
12,Jim,MT,3,3,2D,36.2702230998773,34.7679788791431,-0.0211469910398049,-0.0211469910398049,1,1,Left,2,36.2702230998773,34.7679788791431,1
14,Jim,MT,4,3,2Donly,61.2662565234968,69.9196714231338,0.0659629812060135,0.0659629812060135,1,1,Right,3,69.9196714231338,61.2662565234968,1
15,Jim,MT,1,2,3D,45.7540213064771,53.1332809460497,0.0746229239900615,0.0746229239900615,1,1,Right,3,53.1332809460497,45.7540213064771,1
18,Jim,MT,2,3,2Donly,30.2026398694346,31.4888684745695,0.0208493622487322,0.0208493622487322,1,1,Right,3,31.4888684745695,30.2026398694346,1
20,Jim,MT,3,3,3D,23.9830960968837,21.4461362078659,-0.0558442166048362,-0.0558442166048362,1,1,Left,2,23.9830960968837,21.4461362078659,1
25,Jim,MT,3,3,2D,34.7779154870682,29.2442162046847,-0.0864341616899998,-0.0864341616899998,1,1,Left,2,34.7779154870682,29.2442162046847,1
26,Jim,MT,4,2,2D,97.354407054623,80.2855803024487,-0.0960866244482694,-0.0960866244482694,1,1,Left,2,97.354407054623,80.2855803024487,1
27,Jim,MT,4,3,2D,51.9895423786118,42.7779849259303,-0.097201622904854,-0.097201622904854,1,1,Left,2,51.9895423786118,42.7779849259303,1
30,Jim,MT,2,2,2D,47.4275987362415,42.2644796451213,-0.0575649397839476,-0.0575649397839476,1,1,Left,2,47.4275987362415,42.2644796451213,1
38,Jim,MT,4,2,2D,176.692964248991,197.192946509147,0.0548295126141232,0.0548295126141232,1,1,Right,3,197.192946509147,176.692964248991,1
48,Jim,MT,1,2,2Donly,86.2482801596104,99.0068609368249,0.068870319612739,0.068870319612739,1,1,Right,3,99.0068609368249,86.2482801596104,1
50,Jim,MT,2,2,2D,86.8364352695675,93.4035938148575,0.0364356274166702,0.0364356274166702,1,1,Right,3,93.4035938148575,86.8364352695675,1
58,Jim,MT,4,3,3D,60.9378021065025,61.2634908968509,0.00266518284990194,0.00266518284990194,1,1,Right,3,61.2634908968509,60.9378021065025,1
69,Jim,MT,2,3,3D,136.064069994928,156.472417630482,0.0697634260984445,0.0697634260984445,1,1,Right,3,156.472417630482,136.064069994928,1
74,Jim,MT,1,2,2D,259.554940528066,229.961385165505,-0.0604546851846692,-0.0604546851846692,1,1,Left,2,259.554940528066,229.961385165505,1
75,Jim,MT,1,3,2Donly,18.8960304414274,16.568343820183,-0.0656345041949344,-0.0656345041949344,1,1,Left,2,18.8960304414274,16.568343820183,1
78,Jim,MT,3,2,2Donly,128.100177984315,112.123532537306,-0.0665073627091935,-0.0665073627091935,1,1,Left,2,128.100177984315,112.123532537306,1
79,Jim,MT,4,2,2Donly,144.843539455259,167.688236076246,0.0730955967025666,0.0730955967025666,1,1,Right,3,167.688236076246,144.843539455259,1
81,Jim,MT,1,3,2D,73.3943486066303,64.3797737841459,-0.0654301015753591,-0.0654301015753591,1,1,Left,2,73.3943486066303,64.3797737841459,1
82,Jim,MT,2,2,2D,158.784052068334,111.591811598293,-0.174543096525171,-0.174543096525171,1,1,Left,2,158.784052068334,111.591811598293,1
84,Jim,MT,3,2,2D,224.243731881779,210.954021491426,-0.0305371760018185,-0.0305371760018185,1,1,Left,2,224.243731881779,210.954021491426,1
85,Jim,MT,3,3,2D,136.978783917209,177.61803384462,0.1291788334559,0.1291788334559,1,1,Right,3,177.61803384462,136.978783917209,1
86,Jim,MT,4,2,2D,181.83652089551,173.52825526172,-0.0233795417869823,-0.0233795417869823,1,1,Left,2,181.83652089551,173.52825526172,1
87,Jim,MT,4,3,2Donly,57.5139239911186,50.6616608967579,-0.0633438968826752,-0.0633438968826752,1,1,Left,2,57.5139239911186,50.6616608967579,1
92,Jim,MT,1,3,2D,17.2907327817433,13.3903503280309,-0.127126621956507,-0.127126621956507,1,1,Left,2,17.2907327817433,13.3903503280309,1
93,Jim,MT,2,2,2Donly,181.738967496862,157.360341614892,-0.0718922900368875,-0.0718922900368875,1,1,Left,2,181.738967496862,157.360341614892,1
97,Jim,MT,4,2,2Donly,222.108058217138,228.154987563824,0.0134297704494004,0.0134297704494004,1,1,Right,3,228.154987563824,222.108058217138,1
98,Jim,MT,4,3,2Donly,42.7234018540995,44.6716250473181,0.0222921516508744,0.0222921516508744,1,1,Right,3,44.6716250473181,42.7234018540995,1
101,Jim,MT,1,4,2Donly,25.5112893297658,24.9226225870713,-0.0116720420907497,-0.0116720420907497,1,1,Left,2,25.5112893297658,24.9226225870713,1
104,Jim,MT,3,2,2Donly,43.1815194054116,55.8430084011025,0.127862149672961,0.127862149672961,1,1,Right,3,55.8430084011025,43.1815194054116,1
108,Jim,MT,1,3,2Donly,76.545850769549,47.5048003670147,-0.234106392320052,-0.234106392320052,1,1,Left,2,76.545850769549,47.5048003670147,1
113,Jim,MT,2,2,2D,228.050229193329,232.169097107397,0.00894979345429871,0.00894979345429871,1,1,Right,3,232.169097107397,228.050229193329,1
114,Jim,MT,3,2,2D,236.838465048815,140.408747686111,-0.255614128103475,-0.255614128103475,1,1,Left,2,236.838465048815,140.408747686111,1
115,Jim,MT,4,2,2D,221.409647642822,162.041071442306,-0.154827134871888,-0.154827134871888,1,1,Left,2,221.409647642822,162.041071442306,1
119,Jim,MT,3,3,2Donly,20.0108127977131,21.133329064097,0.0272825295555828,0.0272825295555828,1,1,Right,3,21.133329064097,20.0108127977131,1
123,Jim,MT,1,2,2Donly,80.4561355092692,70.3727755314438,-0.0668529654444278,-0.0668529654444278,1,1,Left,2,80.4561355092692,70.3727755314438,1
