Analysis,Area,Population,Condition,NeuronCount,Coherence,MeanCorrect,CI95Low,CI95High,AboveChance95,BelowChance95
Pooled,MT,2D,Combined,80,0.0909090909090909,0.7664,0.625,0.9,1,0
Pooled,MT,2D,Combined,80,0.181818181818182,0.8644,0.75,0.975,1,0
Pooled,MT,2D,Combined,80,0.363636363636364,0.9021,0.7875,1,1,0
Pooled,MT,2D,Combined,80,0.454545454545455,0.948474999999999,0.85,1,1,0
Pooled,MT,2D,Combined,80,0.636363636363636,0.957999999999998,0.875,1,1,0
Pooled,MT,2D,Combined,80,1,0.958024999999999,0.875,1,1,0
Pooled,MT,2D,Dominant eye perspective,80,0.0909090909090909,0.627175,0.475,0.8,0,0
Pooled,MT,2D,Dominant eye perspective,80,0.181818181818182,0.7381,0.5375,0.925,1,0
Pooled,MT,2D,Dominant eye perspective,80,0.363636363636364,0.853875,0.625,1,1,0
Pooled,MT,2D,Dominant eye perspective,80,0.454545454545455,0.897099999999999,0.7,1,1,0
Pooled,MT,2D,Dominant eye perspective,80,0.636363636363636,0.9339,0.725,1,1,0
Pooled,MT,2D,Dominant eye perspective,80,1,0.954224999999999,0.75,1,1,0
Pooled,MT,2D,Non-dominant eye perspective,80,0.0909090909090909,0.450775,0.3,0.575,0,0
Pooled,MT,2D,Non-dominant eye perspective,80,0.181818181818182,0.366975,0.175,0.5,0,0
Pooled,MT,2D,Non-dominant eye perspective,80,0.363636363636364,0.2854,0.05,0.5,0,0
Pooled,MT,2D,Non-dominant eye perspective,80,0.454545454545455,0.25635,0.025,0.5,0,0
Pooled,MT,2D,Non-dominant eye perspective,80,0.636363636363636,0.21635,0,0.475,0,1
Pooled,MT,2D,Non-dominant eye perspective,80,1,0.160175,0,0.45,0,1
Pooled,MT,2D,Stereoscopic,80,0.0909090909090909,0.592325,0.45,0.75,0,0
Pooled,MT,2D,Stereoscopic,80,0.181818181818182,0.7181,0.55,0.875,1,0
Pooled,MT,2D,Stereoscopic,80,0.363636363636364,0.817075,0.65,0.95,1,0
Pooled,MT,2D,Stereoscopic,80,0.454545454545455,0.781325,0.575,0.95,1,0
Pooled,MT,2D,Stereoscopic,80,0.636363636363636,0.851025,0.65,0.975,1,0
Pooled,MT,2D,Stereoscopic,80,1,0.878,0.675,1,1,0
Pooled,MT,3D,Combined,9,0.0909090909090909,0.591525,0.45,0.725,0,0
Pooled,MT,3D,Combined,9,0.181818181818182,0.8169,0.675,0.925,1,0
Pooled,MT,3D,Combined,9,0.363636363636364,0.921425,0.825,1,1,0
