Y,HoleCount,XHoles,FigureFile,SourceTable
18,2,"19, 20",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y18.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
19,5,"17, 18, 19, 20, 21",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y19.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
20,7,"16, 17, 18, 19, 20, 21, 22",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y20.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
21,6,"17, 19, 20, 21, 22, 23",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y21.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
22,7,"16, 17, 18, 20, 21, 22, 23",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y22.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
23,6,"18, 19, 20, 21, 22, 23",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y23.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
24,5,"19, 20, 21, 22, 24",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y24.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
25,2,"21, 22",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y25.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
26,4,"20, 21, 22, 24",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y26.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
27,5,"20, 21, 22, 23, 24",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y27.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
28,5,"20, 21, 22, 23, 24",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y28.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
29,3,"21, 22, 23",C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\MRI\JimHoleTrajectoryFigures_Stimulation20250331_PositiveX_10to35\Jim_HoleTrajectories_Y29.png,P:\Jim\NeuroData\RecordingRecord_Stimulation_20250331.xlsx
