UnitTableRow,Date,Monkey,ROI,RecordingFolder,TrialInfoFile,SelIndexFile,OutputDir,Status,Message,TrialCount,ValidTrialCount,EventCount,RuntimeSeconds
1,14-Jul-2021,Jim,MT,P:\Jim\NeuroData\20210714\,P:\Jim\NeuroData\20210714\Jim_MT_14July2021_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20210714\Jim_MT_14July2021_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\001_Jim_MT_14July2021_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
2,21-Jul-2021,Jim,MT,P:\Jim\NeuroData\20210721\,P:\Jim\NeuroData\20210721\Jim_MT_21July2021_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20210721\Jim_MT_21July2021_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\002_Jim_MT_21July2021_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
3,23-Jul-2021,Jim,FST,P:\Jim\NeuroData\20210723\,P:\Jim\NeuroData\20210723\Jim_MT_23July2021_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20210723\Jim_MT_23July2021_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\003_Jim_MT_23July2021_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
4,04-Aug-2021,Jim,MT,P:\Jim\NeuroData\20210804\,P:\Jim\NeuroData\20210804\Jim_MT_04August2021_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20210804\Jim_MT_04August2021_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\004_Jim_MT_04August2021_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
5,20-Aug-2021,Jim,MT,P:\Jim\NeuroData\20210820\,P:\Jim\NeuroData\20210820\Jim_MT_20August2021_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20210820\Jim_MT_20August2021_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\005_Jim_MT_20August2021_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
6,12-May-2022,Jim,MT,P:\Jim\NeuroData\20220512\,P:\Jim\NeuroData\20220512\Jim_MT_12May2022_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20220512\Jim_MT_12May2022_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\006_Jim_MT_12May2022_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
7,18-May-2022,Jim,FST,P:\Jim\NeuroData\20220518\,P:\Jim\NeuroData\20220518\Jim_FST_18May2022_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20220518\Jim_FST_18May2022_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\007_Jim_FST_18May2022_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
8,19-May-2022,Jim,FST,P:\Jim\NeuroData\20220519\,P:\Jim\NeuroData\20220519\Jim_FST_19May2022_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20220519\Jim_FST_19May2022_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\008_Jim_FST_19May2022_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
9,20-May-2022,Jim,FST,P:\Jim\NeuroData\20220520\,P:\Jim\NeuroData\20220520\Jim_FST_20May2022_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20220520\Jim_FST_20May2022_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\009_Jim_FST_20May2022_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
10,24-May-2022,Jim,FST,P:\Jim\NeuroData\20220524\,P:\Jim\NeuroData\20220524\Jim_FST_24May2022_MUA_3DMotionStim_TInfo.mat,P:\Jim\NeuroData\20220524\Jim_FST_24May2022_MUA_3DMotionStim_SelIndex.mat,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\Microsac\population_results_inventory\010_Jim_FST_24May2022_MUA_3DMotionStim,Ready,Resolved without analysis because DryRun is true.,NaN,NaN,NaN,0
