TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
5,1,NonStim,0,1,24.5577333333333,25.5303,NaN,0.973000000000003,999.999999998778,4,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.30846829868375,9.32960710250381,11.9680247274562,7.99683743930471
6,1,NonStim,0,1,27.9246333333333,28.8987333333333,NaN,0.974,999.999999998778,4,0.4545,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868840007207,5.33122520428964,11.9680279884061,7.99683177622653
7,1,NonStim,0,1,31.2508,32.2323333333333,NaN,0.981999999999999,999.999999998778,4,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890710029751,6.66402928034527,13.297812134199,2.66561177560778
8,1,Stim,1,1,34.6420666666667,35.6191666666667,-0.0544666666666629,0.976999999999997,1000.00000000233,1,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868794455737,5.331224264062,11.9680284221635,7.99682863916914
9,1,NonStim,0,1,37.9927333333333,38.958,NaN,0.965999999999994,1000.00000000233,4,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868777357712,9.32964322544233,11.9680316967564,5.3312250951369
10,1,NonStim,0,1,83.4327333333333,84.3989333333333,NaN,0.965999999999994,999.999999995225,1,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868215428219,11.9952526033078,11.9680240931673,11.9952363716041
11,1,Stim,1,1,86.7744666666667,87.7391666666667,-0.0591333333333353,0.965000000000003,999.999999995225,1,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868819186936,5.33122491061141,9.3084681560924,7.99683219563251
12,1,Stim,1,1,90.1834666666667,91.1483,-0.0637666666666803,0.965000000000003,999.999999995225,2,-0,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868755692885,5.3312191044583,13.2978087498948,6.66403061096495
13,1,NonStim,0,1,93.5837666666667,94.5580333333333,NaN,0.975000000000009,999.999999995225,2,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680242529064,6.66403134573082,13.2978131044956,7.99683648514865
14,1,Stim,1,1,96.9505,97.9069666666667,-0.0648333333333397,0.956000000000017,999.999999995225,2,-0.0909,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680268007609,7.99683321336039,13.2978110016158,7.99683726881976
15,1,NonStim,0,1,100.234166666667,101.2082,NaN,0.974000000000004,999.999999995225,1,-1,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868723057179,5.33121708821137,13.2978001052826,6.66402977784356
16,1,NonStim,0,1,103.568566666667,104.5247,NaN,0.956000000000003,999.999999995225,2,0.1818,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3084694974248,3.99841742001087,11.9680290209194,5.33122267070067
17,1,Stim,1,1,106.760033333333,107.720166666667,-0.0649000000000086,0.960000000000008,999.999999995225,3,-0.0909,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9786829146243,5.33122510913509,11.9680317947287,7.99683383429417
18,1,Stim,1,1,110.327133333333,111.302233333333,-0.0568666666666644,0.975000000000009,999.999999995225,3,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9786885146401,6.6640289772634,11.9680328080594,6.66401704468796
19,1,NonStim,0,1,113.677533333333,114.646733333333,NaN,0.969000000000008,999.999999995225,3,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868651085884,5.33122508130852,11.968027097944,6.66403091238115
20,1,NonStim,0,1,116.986266666667,117.9532,NaN,0.967000000000013,999.999999995225,2,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868813315365,5.33122514617903,11.9680324612111,6.66403143025918
21,1,Stim,1,1,120.462466666667,121.454366666667,-0.0557000000000016,0.992000000000004,999.999999995225,3,0.0909,1,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890713730897,1.3328061787503,13.2978108324529,6.66402779396331
22,1,Stim,1,1,123.912433333333,124.8855,-0.0500333333333458,0.973000000000013,999.999999995225,3,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868653254138,5.33122520857446,11.8939267168392,6.66403149169642
23,1,Stim,1,1,127.463166666667,128.4394,-0.0555999999999983,0.975999999999999,999.999999995225,4,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868835958003,5.33121895089889,13.0237179166526,6.66400356839126
24,1,NonStim,0,1,130.863566666667,131.8457,NaN,0.981999999999999,999.999999995225,1,1,1,1,4,1,1,1.0183299389002,0.144176023400853,13.5771722478193,16.0000000000764,-0.332148308049668,0.94322717383446,109.399221021885,1,6.64890713227458,1.33280614970895,13.2978043600669,6.66401875573208
25,1,Stim,1,1,134.180166666667,135.145366666667,-0.0507333333333122,0.965000000000003,999.999999995225,3,-1,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6275948689151,7.99683196134431,18.6169242681646,7.99683113809555
26,1,NonStim,0,1,137.522666666667,138.4966,NaN,0.974000000000018,999.999999995225,1,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890686285372,5.33122519720828,11.9680168337672,11.9952421445571
27,1,Stim,1,1,141.023733333333,141.9973,-0.0557333333333645,0.974000000000018,999.999999995225,1,0.3636,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868816319895,7.9968369190144,11.9680310415851,7.99679797479783
28,1,NonStim,0,1,144.383066666667,145.3569,NaN,0.973000000000013,999.999999995225,1,-0,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868821376625,6.66402808089035,11.9680315213496,5.3312239060223
29,1,NonStim,0,1,147.8,148.7629,NaN,0.962999999999994,999.999999995225,3,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868842201278,11.9952457908959,11.9680298370843,9.32964094432765
30,1,Stim,1,1,150.982466666667,151.956233333333,-0.0535666666666543,0.97399999999999,999.999999995225,3,-0,-1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97867599866783,5.33122382660368,11.8939258289147,6.66402764026642
31,1,Stim,1,1,154.408233333333,155.3768,-0.0552999999999884,0.968000000000018,999.999999995225,2,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97868824848807,3.9984186051008,11.968031023199,5.33120382656208
