TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
5,1,NonStim,0,1,24.5577333333333,25.5303,NaN,0.973000000000003,999.999999998778,4,0.6363,1,1,3,1,4,4.1109969167523,0.0577503469064347,11.8092159976003,7.00000000000855,-0.0240277309743303,0.0950727190378062,104.183366615202,0.0980619893792515,13.2978129450628,6.66402573509093,13.2978130667703,6.66403063270756
6,1,NonStim,0,1,27.9246333333333,28.8987333333333,NaN,0.974,999.999999998778,4,0.4545,1,0,2,2,4,4.10677618069815,0.0554874115335256,10.9086189684456,7.25000000000886,0.194103931439152,0.0409759190138726,11.9202927239288,0.198381859400416,6.64890715097571,6.66402204717272,13.2978088059485,6.66402570904663
7,1,NonStim,0,1,31.2508,32.2323333333333,NaN,0.981999999999999,999.999999998778,4,1,1,1,1,0,1,1.0183299389002,0.101658628889837,12.9309359872721,13.0000000000159,0.523233933771402,-0.852189093188891,301.549428457967,1,6.6489068245217,6.66402252541514,13.2978142230038,15.4195699155761
8,1,Stim,1,1,34.6420666666667,35.6191666666667,-0.0544666666666629,0.976999999999997,1000.00000000233,1,0.6363,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890701404192,18.5474806172747,13.2978102563394,6.6640238659743
9,1,NonStim,0,1,37.9927333333333,38.958,NaN,0.965999999999994,1000.00000000233,4,-0.6363,-1,1,1,0,1,1.03519668737061,0.0666403056099902,11.1618634795047,7.99999999998136,0,-1,270,1,6.64890688072113,6.66403145034427,13.2978115349833,6.66402827700214
10,1,NonStim,0,1,83.4327333333333,84.3989333333333,NaN,0.965999999999994,999.999999995225,1,-0.6363,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890330027093,13.3279504613177,13.2978102721569,13.327977833454
11,1,Stim,1,1,86.7744666666667,87.7391666666667,-0.0591333333333353,0.965000000000003,999.999999995225,1,0.4545,1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2978076763037,18.6897228664633,13.2978035506655,6.66403023898443
12,1,Stim,1,1,90.1834666666667,91.1483,-0.0637666666666803,0.965000000000003,999.999999995225,2,-0,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890682929402,17.6921296325714,13.2978143068118,6.66403021845186
13,1,NonStim,0,1,93.5837666666667,94.5580333333333,NaN,0.975000000000009,999.999999995225,2,1,1,1,1,2,2,2.05128205128203,0.0408757633978716,8.74714489564411,6.00000000002865,-0.108316807844941,-0.0596979842695283,208.861022154112,0.123678535678438,13.2978095393068,6.66402887850591,13.2978138369132,6.66403137634802
14,1,Stim,1,1,96.9505,97.9069666666667,-0.0648333333333397,0.956000000000017,999.999999995225,2,-0.0909,-1,0,2,0,2,2.09205020920498,0.0440028261003603,9.55061330785807,6.50000000003104,0.276913959788623,-0.916315576064822,286.815011342767,0.957243739109754,13.2978119129402,6.66403131535171,13.2978142536212,6.6640311708186
