TrialIndex,TrialType,IsStim,Condition,SignedCoherence,ElectricalStimOnRelVisualS,EventNumberInTrial,DetectionSource,OnsetRelVisualStimS,OffsetRelVisualStimS,OnsetRelElectricalStimS,DurationMs,LeftAmplitudeDeg,RightAmplitudeDeg,MeanAmplitudeDeg,LeftPeakVelocityDegS,RightPeakVelocityDegS,PeakVelocityDegS,MeanDXDeg,MeanDYDeg,DirectionDeg,InterocularOnsetLagMs,InterocularDirectionDiffDeg
5,NonStim,0,4,0.6363,NaN,1,Left,0.0762666666666689,0.084266666666668,NaN,9.000000000011,0.0954048050913323,NaN,0.0954048050913323,12.2675383318101,NaN,12.2675383318101,0.0199467199369368,0.0932963300364624,77.9318739745222,NaN,NaN
5,NonStim,0,4,0.6363,NaN,2,Left,0.107266666666668,0.11226666666667,NaN,6.00000000000733,0.0569215895188751,NaN,0.0569215895188751,11.0976508946185,NaN,11.0976508946185,0.0199467212692564,-0.0533122468478107,290.513283474435,NaN,NaN
5,NonStim,0,4,0.6363,NaN,3,Left,0.19326666666667,0.19926666666667,NaN,7.00000000000855,0.0549456707970062,NaN,0.0549456707970062,9.41367506082186,NaN,9.41367506082186,-0.0132978139801338,0.053312239520421,104.005645596495,NaN,NaN
5,NonStim,0,4,0.6363,NaN,4,Right,0.42026666666667,0.425266666666669,NaN,6.00000000000733,NaN,0.0801652010201436,0.0801652010201436,NaN,14.4579997031506,14.4579997031506,-0.0531912475925693,-0.0599762505842607,228.431084317722,NaN,NaN
6,NonStim,0,4,0.4545,NaN,1,Right,0.106366666666666,0.111366666666669,NaN,6.00000000000733,NaN,0.066640243227333,0.066640243227333,NaN,12.2173806143128,12.2173806143128,0,-0.066640243227333,270,NaN,NaN
6,NonStim,0,4,0.4545,NaN,2,Right,0.701366666666669,0.706366666666668,NaN,6.00000000000733,NaN,0.0628282448979418,0.0628282448979418,NaN,11.0976426325515,11.0976426325515,0.0332445188734891,-0.0533121967454538,301.946916577286,NaN,NaN
6,NonStim,0,4,0.4545,NaN,3,Left,0.912366666666667,0.921366666666668,NaN,10.0000000000122,0.0888990574780425,NaN,0.0888990574780425,11.1618610729296,NaN,11.1618610729296,-0.019946715098469,0.0866323898854511,102.966121422768,NaN,NaN
6,NonStim,0,4,0.4545,NaN,4,Left,0.965366666666668,0.971366666666668,NaN,7.00000000000855,0.0507337988969569,NaN,0.0507337988969569,9.15759155398836,NaN,9.15759155398836,0.0199467204153898,0.0466481156659852,66.8484624488059,NaN,NaN
7,NonStim,0,4,1,NaN,1,Left,0.496200000000002,0.508200000000002,NaN,13.0000000000159,0.110838003375366,NaN,0.110838003375366,12.9309359872721,NaN,12.9309359872721,0.0598401513746532,-0.0932964054811128,302.676041505252,NaN,NaN
9,NonStim,0,4,-0.6363,NaN,1,Left,0.499266666666664,0.506266666666669,NaN,7.99999999998136,0.0802442957853408,NaN,0.0802442957853408,11.1618634795047,NaN,11.1618634795047,0.00664890688070563,-0.0799683627653898,274.752880664109,NaN,NaN
