TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz
3,1,NonStim,0,1,14.1418333333333,15.1247666666667,NaN,0.983000000000001,1000.00000000055,4,-1,-1,1,14,4,2,2.03458799593082
5,1,Stim,1,1,18.9759,19.9439666666667,-0.061166666666665,0.968000000000004,999.999999998778,4,-1,-1,0,12,5,2,2.06611570247933
6,1,Stim,1,1,22.3268,23.2933333333333,-0.0548333333333311,0.966999999999999,999.999999998778,1,0.1818,1,1,17,6,1,1.03412616339194
7,1,Stim,1,1,25.6935,26.6710333333333,-0.060966666666662,0.978000000000002,999.999999998778,4,0.6363,1,1,14,2,0,0
10,1,Stim,1,1,34.0286,35.0121333333333,-0.0485333333333315,0.983999999999995,1000.00000000233,4,-0.3636,-1,1,15,7,3,3.04878048780489
13,1,Stim,1,1,43.2549333333333,44.2196666666667,-0.0549999999999926,0.964999999999996,1000.00000000233,3,0.1818,1,0,15,8,1,1.03626943005182
15,1,NonStim,0,1,50.2302333333333,51.2055333333333,NaN,0.974999999999994,1000.00000000233,2,-0.3636,-1,1,13,12,2,2.05128205128206
17,1,Stim,1,1,55.5565,56.5225,-0.0587666666666635,0.965999999999994,1000.00000000233,3,-0.0909,-1,0,17,11,1,1.03519668737061
18,1,NonStim,0,1,58.9150666666667,59.8901333333333,NaN,0.975000000000001,1000.00000000233,2,0.3636,1,0,16,6,0,0
19,1,NonStim,0,1,62.2747666666667,63.2389333333333,NaN,0.963999999999999,1000.00000000233,1,-0.3636,-1,0,19,5,2,2.0746887966805
20,1,Stim,1,1,65.5748666666667,66.5407666666667,-0.0541000000000196,0.966000000000008,999.999999995225,3,-0.4545,-1,1,13,12,1,1.03519668737059
21,1,NonStim,0,1,68.9332666666667,69.8921666666667,NaN,0.959000000000003,999.999999995225,2,-0.0909,-1,0,12,5,1,1.04275286757038
22,1,NonStim,0,1,72.2594333333333,73.2261,NaN,0.966999999999999,999.999999995225,3,-0.4545,-1,0,12,5,1,1.03412616339194
23,1,NonStim,0,1,75.4594,76.4174333333333,NaN,0.958000000000013,999.999999995225,3,0.4545,1,0,14,11,1,1.0438413361169
24,1,Stim,1,1,78.7513666666667,79.7106,-0.0663666666666813,0.959000000000003,999.999999995225,2,-0.1818,-1,0,16,14,0,0
25,1,Stim,1,1,82.0681333333333,83.0702,-0.0482000000000227,1.002,999.999999995225,1,-0.6363,-1,1,14,2,2,1.99600798403195
26,1,Stim,1,1,85.4944666666667,86.4616,-0.0627999999999957,0.966999999999999,999.999999995225,4,-0.6363,-1,0,16,6,1,1.03412616339194
27,1,Stim,1,1,88.6369333333333,89.6053,-0.0584333333333404,0.969000000000008,999.999999995225,2,1,1,0,14,7,3,3.09597523219812
29,1,NonStim,0,1,94.6374666666667,95.6153333333333,NaN,0.977999999999994,999.999999995225,2,0.4545,1,0,15,11,2,2.04498977505114
