TrialIndex,GoodSelection,TrialType,IsStim,HasAnalysisWindow,VisualStimOnS,VisualStimOffS,ElectricalStimOnRelVisualS,AnalysisDurationS,SampleRateHz,Condition,SignedCoherence,Direction,Response,LeftCandidateCount,RightCandidateCount,MicrosaccadeCount,MicrosaccadeRateHz,MeanMicrosaccadeAmplitudeDeg,MeanMicrosaccadePeakVelocityDegS,MeanMicrosaccadeDurationMs,TrialDirectionX,TrialDirectionY,TrialMeanDirectionDeg,TrialDirectionResultantLength,LeftThresholdXDegS,LeftThresholdYDegS,RightThresholdXDegS,RightThresholdYDegS
3,1,NonStim,0,1,14.1418333333333,15.1247666666667,NaN,0.983000000000001,1000.00000000055,4,-1,-1,1,6,15,4,4.06917599186165,0.0976957747147115,13.1566668169603,31.9999999999823,0.235680245160018,-0.331344160500931,305.423684832612,0.406612998632303,3.98934151783459,1.33277770428843,2.65956172863198,1.38777878078221e-14
5,1,Stim,1,1,18.9759,19.9439666666667,-0.061166666666665,0.968000000000004,999.999999998778,4,-1,-1,0,18,1,1,1.03305785123967,0.364269644140704,38.1408808418258,38.0000000000464,-0.166710016750778,-0.986005968701486,260.40341275428,1,1.32978003942984,1.38777878077975e-14,5.31911988437959,25.8592286661146
6,1,Stim,1,1,22.3268,23.2933333333333,-0.0548333333333311,0.966999999999999,999.999999998778,1,0.1818,1,1,18,2,2,2.06825232678387,0.0166424439792605,6.9159603925989,19.0000000000232,-0.122524002375226,0.327890029151821,110.489412300715,0.350034287427998,1.32978107311023,1.73472347597469e-15,8.44666459653705,1.33280578504746
7,1,Stim,1,1,25.6935,26.6710333333333,-0.060966666666662,0.978000000000002,999.999999998778,4,0.6363,1,1,0,19,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.32978129794409,12.9228535950455,6.93889390389875e-15,1.33280322511973
10,1,Stim,1,1,34.0286,35.0121333333333,-0.0485333333333315,0.983999999999995,1000.00000000233,4,-0.3636,-1,1,12,1,1,1.01626016260163,0.198527916774561,22.0896608130368,59.9999999998602,-0.688833210789269,0.724919862959863,133.537818215452,1,1.32978142408093,2.77555756156936e-14,3.98934348817264,3.99840210466717
13,1,Stim,1,1,43.2549333333333,44.2196666666667,-0.0549999999999926,0.964999999999996,1000.00000000233,3,0.1818,1,0,1,1,1,1.03626943005182,0.245433800786509,23.7011279466407,20.9999999999511,-0.10839932884175,-0.99410743157199,263.776947893354,1,9.30846857274392,1.33280551901055,7.97868666623116,6.66396657646147
15,1,NonStim,0,1,50.2302333333333,51.2055333333333,NaN,0.974999999999994,1000.00000000233,2,-0.3636,-1,1,2,1,1,1.02564102564103,0.288230695979429,27.4321018673416,24.9999999999417,-0.971226634456284,0.238157142497806,166.222201090916,1,10.6382340120097,5.33121402996762,10.6381421701445,5.33122435031937
17,1,Stim,1,1,55.5565,56.5225,-0.0587666666666635,0.965999999999994,1000.00000000233,3,-0.0909,-1,0,5,2,1,1.03519668737061,0.136509715612475,15.3756330037906,15.9999999999627,0.696334846102611,-0.717717062708734,314.133682859363,1,7.97868811990154,1.33280592653183,11.9680303583193,5.33120445185699
18,1,NonStim,0,1,58.9150666666667,59.8901333333333,NaN,0.975000000000001,1000.00000000233,2,0.3636,1,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2978112908092,7.99683631265745,10.6381960904491,5.33121220083909
19,1,NonStim,0,1,62.2747666666667,63.2389333333333,NaN,0.963999999999999,1000.00000000233,1,-0.3636,-1,0,2,15,2,2.0746887966805,0.300926043970918,28.4280471568432,28.9999999999324,-0.287911699572436,-0.0464658045208916,189.167861915164,0.29163713367893,5.31912468117308,5.33115471232347,1.38777878078468e-14,3.99840029407646
20,1,Stim,1,1,65.5748666666667,66.5407666666667,-0.0541000000000196,0.966000000000008,999.999999995225,3,-0.4545,-1,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6382469760468,7.99683733146872,7.97868364203339,5.33122247383051
21,1,NonStim,0,1,68.9332666666667,69.8921666666667,NaN,0.959000000000003,999.999999995225,2,-0.0909,-1,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9680252042367,5.33121986849434,7.97867647285553,5.3312193136289
22,1,NonStim,0,1,72.2594333333333,73.2261,NaN,0.966999999999999,999.999999995225,3,-0.4545,-1,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64890595843448,3.99841689406014,7.97867156811906,12.6723085270149
23,1,NonStim,0,1,75.4594,76.4174333333333,NaN,0.958000000000013,999.999999995225,3,0.4545,1,0,2,1,1,1.0438413361169,0.21741308491905,19.4797967321585,19.0000000000907,-0.864860663537652,0.50201198458325,149.866798658419,1,7.97868462422759,4.71214804352885,10.6382512106255,7.99679402858056
24,1,Stim,1,1,78.7513666666667,79.7106,-0.0663666666666813,0.959000000000003,999.999999995225,2,-0.1818,-1,0,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6275895475428,2.66560998079512,11.9680284604582,1.33280612721788
25,1,Stim,1,1,82.0681333333333,83.0702,-0.0482000000000227,1.002,999.999999995225,1,-0.6363,-1,1,11,22,9,8.98203592814375,0.0583254235548985,8.0966626538311,25.8888888890125,0.169190276371817,-0.541251322470262,287.358773036776,0.567078780853754,2.65956018624128,1.33280501369357,2.60743880881788e-07,1.33280585947873
26,1,Stim,1,1,85.4944666666667,86.4616,-0.0627999999999957,0.966999999999999,999.999999995225,4,-0.6363,-1,0,1,5,1,1.03412616339194,0.138136526537768,14.1173248432103,15.0000000000716,0.121367090068235,0.992607691612537,83.0289922072642,1,6.89208795834814,2.99881411893536,1.32978122207237,5.33122067457717
27,1,Stim,1,1,88.6369333333333,89.6053,-0.0584333333333404,0.969000000000008,999.999999995225,2,1,1,0,2,2,2,2.06398348813208,0.289933310289425,23.4348104148317,21.5000000001027,-0.263828585845978,-0.07884231761282,196.638206199753,0.275357283826031,13.2978078577234,5.33118392259665,11.9680324792117,5.33121587705157
29,1,NonStim,0,1,94.6374666666667,95.6153333333333,NaN,0.977999999999994,999.999999995225,2,0.4545,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2978002289957,6.664023981838,11.9680148849714,3.99840965531069
30,1,NonStim,0,1,98.0121333333333,99.0033333333333,NaN,0.991,999.999999995225,4,0.6363,1,1,15,7,4,4.03632694248234,0.237370998866594,23.8582343908441,47.750000000228,-0.0435347084761259,-0.0301648955514699,214.717818131992,0.0529640610766617,1.38777878077482e-14,1.38777878077482e-14,1.32977818176464,2.66561107448833
31,1,Stim,1,1,101.3804,102.3617,-0.0555000000000092,0.981000000000009,999.999999995225,4,0.3636,1,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8754860820642,2.99880288043733,5.31912382955058,10.9688922598706
32,1,Stim,1,1,104.9139,105.8748,-0.0636333333333425,0.960999999999999,999.999999995225,3,0.3636,1,1,2,2,2,2.08116545265349,0.254010761841244,24.5475016155828,20.0000000000955,-0.32978628926549,0.00251405941536842,179.563225615027,0.329795871839302,11.9680292619881,3.99841522879121,7.97868165560428,5.33122522162819
34,1,Stim,1,1,109.822,110.8,-0.0570666666666853,0.978000000000009,999.999999995225,2,0.1818,1,1,5,3,1,1.02249488752555,0.107568258505828,13.6962205879118,20.0000000000955,0.204003880898804,-0.978970079511231,281.771193403237,1,17.2871584558283,1.33280593882108,13.29775944965,1.33280495400786
