SourceRow,Date,Monkey,ROI,Tetrode,Unit,NeuroType,Z3D_v_Z2D,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedCode_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
362,12/11/2019,Jim,FST,2,2,3D,3.72703171085662,-0.166017855971285,Away,1,7041,slow (~4.2 deg/s),1,28.9765401038055,25.2600053132999,32.9309308720855,27.1525736482734,26.6322823261368,23.6072638390194,29.1882600979102,20.1214204357345,23,23,23,23,13,13,13,13,7.48284265523413,100.990248178977,0.0740947050845237,7.28798058342932,112.879028457288,0.06456452259586,1,1,1
372,12/17/2019,Jim,FST,2,2,3D,1.59604145764363,0.480829718544245,Toward,1,7041,slow (~4.2 deg/s),1,14.1815784865263,19.5320002969087,10.4736257786817,15.198697242185,10.9581594029995,11.7524807821949,9.22716334707141,10.4236100893786,22,21,22,22,7,7,7,7,12.3318092910569,55.095348275813,0.223826687315281,4.69267889160032,46.651967150133,0.100589089341047,1,1,1
372,12/17/2019,Jim,FST,2,2,3D,1.59604145764363,0.480829718544245,Toward,2,7125,fast (~12.6 deg/s),0,14.1815784865263,19.5320002969087,10.4736257786817,15.198697242185,12.8511569200072,12.1886699854444,11.7911601765851,16.7725510382975,22,21,22,22,7,7,7,7,4.08987082513025,63.3372867417396,0.0645728769817196,1.69249285883717,49.6521531828961,0.0340869982536868,1,1,1
384,12/18/2019,Jim,FST,4,2,3D,3.11188338032972,0.379556401387204,Toward,1,7041,slow (~4.2 deg/s),1,91.368179860345,73.5685776751745,56.4334776950583,53.366118033943,64.0728020511372,41.3034511291268,50.5177161432521,50.946354942211,24,22,24,25,7,7,7,7,49.9176005421714,279.955914528868,0.178305218613355,17.9784284566224,201.62076300138,0.0891695289165201,1,1,1
384,12/18/2019,Jim,FST,4,2,3D,3.11188338032972,0.379556401387204,Toward,2,7125,fast (~12.6 deg/s),0,91.368179860345,73.5685776751745,56.4334776950583,53.366118033943,65.9882199910315,56.3214666169968,41.9818499657558,57.8770589626054,24,22,24,25,7,7,7,7,41.0714785818826,288.802036489156,0.142213258192952,11.4962791462487,208.102912311754,0.0552432400803039,1,1,1
386,12/18/2019,Jim,FST,5,3,3D,3.35692684167851,0.220400026329909,Toward,1,7041,slow (~4.2 deg/s),1,18.2567211847175,13.5142642023576,10.3463150191942,7.11888510025137,8.34114326744461,5.66072961510511,6.46278004116668,6.23732458531019,24,22,24,25,7,7,7,7,17.1925175343202,46.3494532398298,0.370932477786945,5.34169046317377,29.5887097757174,0.18053137509759,1,1,1
386,12/18/2019,Jim,FST,5,3,3D,3.35692684167851,0.220400026329909,Toward,2,7125,fast (~12.6 deg/s),0,18.2567211847175,13.5142642023576,10.3463150191942,7.11888510025137,11.6395824602444,7.699171033759,7.79739663548387,9.26342412539144,24,22,24,25,7,7,7,7,10.8679788014392,52.6739919727108,0.206325330479408,1.96863245020269,32.9617677886884,0.0597247229827968,1,1,1
396,2/5/2020,Jim,FST,5,2,3D,2.82062065651683,0.360059341879565,Toward,1,7041,slow (~4.2 deg/s),1,33.1393934794067,33.1797348123053,30.6522724742318,31.5285289752119,37.3322668529913,36.427288628711,35.2789539844353,38.0748073003464,21,20,21,21,8,7,8,8,-9.08794586162568,141.72620244505,-0.0641232581191137,-9.52544116370259,133.88704406259,-0.0711453541333663,1,1,1
396,2/5/2020,Jim,FST,5,2,3D,2.82062065651683,0.360059341879565,Toward,2,7125,fast (~12.6 deg/s),0,33.1393934794067,33.1797348123053,30.6522724742318,31.5285289752119,33.1012418176484,32.1862295545079,31.1886396142665,32.1932854136894,21,20,21,21,8,7,8,8,1.02460106037417,131.61365552305,0.00778491453871011,-1.1940677193307,125.555670618218,-0.00951026515529952,1,1,1
409,2/12/2020,Jim,FST,3,3,3D,4.90472652136069,0.232201715308486,Toward,1,7041,slow (~4.2 deg/s),1,20.7946715760612,19.6135756746759,17.9062688236217,15.4216054252351,17.6250665303404,14.5441673668227,20.618904626214,19.8242914591912,19,21,20,20,7,7,8,8,2.95888926120548,77.8576052402686,0.03800385655421,-1.83519774418003,68.4909462418935,-0.0267947494505121,1,1,1
409,2/12/2020,Jim,FST,3,3,3D,4.90472652136069,0.232201715308486,Toward,2,7125,fast (~12.6 deg/s),0,20.7946715760612,19.6135756746759,17.9062688236217,15.4216054252351,24.9671168440719,21.9739683294398,28.3089412105993,31.1123596119219,19,21,20,20,8,7,8,8,-15.6712292052567,96.4877237067308,-0.162416819500152,-16.9550352911823,83.6107837888958,-0.202785269110635,1,1,1
422,5/13/2020,Jim,FST,1,2,3D,3.29302893839719,0.324288392171016,Toward,1,7041,slow (~4.2 deg/s),1,17.8727088040595,15.2415541004513,8.69684249944224,10.2232913506654,10.5356285396898,6.29716573896317,8.9845642206585,11.3655091074655,21,21,21,21,7,8,8,8,11.2131252573554,55.0154005516662,0.203817933613424,3.63840389048598,34.2018638097293,0.106380281224644,1,1,1
422,5/13/2020,Jim,FST,1,2,3D,3.29302893839719,0.324288392171016,Toward,2,7125,fast (~12.6 deg/s),0,17.8727088040595,15.2415541004513,8.69684249944224,10.2232913506654,17.6403651215164,12.750055962441,12.1370639503717,10.6270522616331,21,21,21,21,8,8,8,8,4.84684552136131,61.3816802876603,0.0789624118897847,-5.96698606270506,43.8072537629204,-0.136210000631349,1,1,1
428,5/13/2020,Jim,FST,4,2,3D,4.35144357080355,0.484974874793896,Toward,1,7041,slow (~4.2 deg/s),1,54.4507158968385,65.6289382810687,43.3546810929173,45.0863829558327,49.0720765047274,41.1496999886656,57.576566869478,43.9345716521157,21,21,21,21,7,8,8,8,27.073006021064,213.08630233475,0.127051836389433,-10.2852028093935,187.167330906894,-0.0549519125990523,1,1,1
428,5/13/2020,Jim,FST,4,2,3D,4.35144357080355,0.484974874793896,Toward,2,7125,fast (~12.6 deg/s),0,54.4507158968385,65.6289382810687,43.3546810929173,45.0863829558327,65.4411061389155,51.607631536639,59.7700664558302,57.4350258573546,21,21,21,21,8,8,8,8,-2.79647781836296,242.955786174177,-0.0115102334560501,-22.9366339437192,199.818762041219,-0.114787188697465,1,1,1
