SourceRow,OriginalRecIdx,Date,Monkey,ROI,StimElec,NeuroType,Z3D_v_Z2D,P_MonoL,P_MonoR,Combined_AI,CombinedCuePreference,SpeedRank_2D,SpeedDegPerSec_2D,SpeedLabel_2D,IsMatchedSlowSpeed,T_L,T_R,A_L,A_R,R_L,R_R,L_L,L_R,N_T_L,N_T_R,N_A_L,N_A_R,N_R_L,N_R_R,N_L_L,N_L_R,TDI_Numerator,TDI_Denominator,TDI,ADI_Numerator,ADI_Denominator,ADI,Valid_TDI,Valid_ADI,Complete_AllEightMetrics
26,26,17-Jan-2023,Jim,FST,14,3D,3.6349554612156,1.05853180165493e-07,1.40109947158687e-05,0.798062336607035,Toward,1,4.166667,slow (~4.2 deg/s),1,63.7229618394039,69.4242363536364,32.384572164758,34.092844108303,36.5504944801639,29.7070554763512,27.9084209099152,33.4615936446067,NaN,NaN,NaN,NaN,7,7,7,8,63.1351100682697,203.159286317811,0.31076654782841,8.86193988679459,124.092892659327,0.0714137586519423,1,1,1
69,70,20-Dec-2023,Jim,FST,14,3D,2.12145682435055,0.0170074305584235,0.000132588479642057,-0.755695882015947,Away,1,4.166667,slow (~4.2 deg/s),1,19.2766837659894,23.655132291579,36.0011011601194,49.2043385267285,25.9281209175227,31.3749706453345,31.7254206506673,25.1817851590839,NaN,NaN,NaN,NaN,10,10,10,11,-8.17809001903814,94.041722134175,-0.086962359189573,22.1050483908461,148.30583098285,0.149050433447909,1,1,1
73,74,11-Jan-2024,Jim,FST,1,3D,2.04405692357126,0.00356925666315244,0.0028835074971996,-0.345902532980025,Away,1,4.166667,slow (~4.2 deg/s),1,39.190764150548,34.0715788595524,51.1898999239809,57.17510002334,42.2552595816625,47.7855634426031,48.2837401862761,35.534282717988,NaN,NaN,NaN,NaN,10,10,10,9,-4.5271992895501,151.051885309751,-0.0299711538208643,12.2956963184418,204.4343035762,0.0601449761774384,1,1,1
84,85,05-Mar-2024,Jim,FST,12,3D,1.32570984188196,7.43307877340434e-09,0.00024016417714909,0.542033518417699,Toward,1,4.166667,slow (~4.2 deg/s),1,41.1156053847199,34.1391275829896,24.2628098579082,25.7767568823436,15.5935285009423,19.5707764962733,14.8442717525267,17.6462369490731,NaN,NaN,NaN,NaN,10,10,10,9,42.0149675176941,108.494498417725,0.387254359718115,15.6245184914518,84.4546149890518,0.185004910548432,1,1,1
87,88,12-Mar-2024,Jim,FST,13,3D,1.41783713168159,8.86668904663844e-10,3.67919053738697e-06,-0.84038893330634,Away,1,4.166667,slow (~4.2 deg/s),1,8.96900551947189,7.72477692976719,25.5505904068096,18.6320501844108,8.52659990397148,10.1668990652681,11.2532304223337,8.76691912737201,NaN,NaN,NaN,NaN,10,10,9,11,-0.599736582104407,33.9873014805826,-0.0176459017332413,22.7625111036187,65.6027700788221,0.346974846889383,1,1,1
104,106,12-Jun-2024,Jim,FST,4,3D,0.346342598580794,1.24875288078339e-16,0.00149571545547598,0.879314122159244,Toward,1,4.166667,slow (~4.2 deg/s),1,96.1371843346735,70.381316207465,43.182752992206,43.6733127221528,99.7854641558647,61.3063071335347,40.5362280632268,44.6577672877299,NaN,NaN,NaN,NaN,10,10,10,10,22.0752690985439,310.961731985733,0.0709903078992263,-14.9864694824028,188.69860091112,-0.0794201409551606,1,1,1
106,108,14-Jun-2024,Jim,FST,11,3D,1.45045417779309,4.98687351454144e-05,7.63789953276369e-06,0.345509258479834,Toward,1,4.166667,slow (~4.2 deg/s),1,66.7146707741586,63.9362711824605,56.5776363834574,55.4289925818159,61.2271705724221,67.2109411191114,63.7341823657786,69.8986987448234,NaN,NaN,NaN,NaN,8,8,7,8,-0.474927360626495,261.776811273865,-0.00181424534249383,-18.9384945196166,242.951752450163,-0.0779516687104426,1,1,1
111,113,28-Jun-2024,Jim,FST,5,3D,1.18810456265272,0.000193041102615582,2.97106199361573e-08,-0.668412911992148,Away,1,4.166667,slow (~4.2 deg/s),1,37.9150381022092,37.2941678056205,58.3272305380031,65.3003463490738,37.2457277786804,36.2811996697496,31.7252162040704,30.0012966233058,NaN,NaN,NaN,NaN,10,10,10,10,7.96218150584352,142.456230309816,0.055892125521834,55.621161013257,191.633992760897,0.290246840927934,1,1,1
114,116,17-Jul-2024,Jim,FST,16,3D,3.46137442461237,0.00247300547090731,0.00029413823632494,0.626278793836331,Toward,1,4.166667,slow (~4.2 deg/s),1,28.6398069304125,30.4035345035346,21.9304799204547,19.0283870992866,24.955858285788,16.1874553445117,18.1416181140066,21.1528195814149,NaN,NaN,NaN,NaN,8,8,8,9,12.9346635667442,105.15201930115,0.12300917902204,6.62979356122291,75.2879404782597,0.0880591701553763,1,1,1
118,120,02-Aug-2024,Jim,FST,2,3D,4.14594489174583,5.25907326839299e-07,1.18189361774294e-07,0.858614170752659,Toward,1,4.166667,slow (~4.2 deg/s),1,28.1302179748,27.2688065695317,17.1719976280763,13.136122414596,27.56535179974,14.3583776539301,15.242134126957,25.6041739353798,NaN,NaN,NaN,NaN,10,10,10,10,2.22949880921178,108.568550279452,0.0205354018587624,0.707608261785117,59.9086318235593,0.0118114575520459,1,1,1
